CandidateName,Withdrew,Party,Office,District,Race,Gender,Website,Twitter,Facebook,Instagram,YouTube,TikTok,BlueSky,Notes
Mike Wheeler,,R,H,21,White,M,https://mikewheelerforcongress.com/,https://x.com/wheelerfortx,https://www.facebook.com/p/Michael-Wheeler-for-Congress-61558514117072/,https://www.instagram.com/michael_wheeler_texas/,https://www.youtube.com/channel/UCfVlTq1-BhdUwKVp1-Ri-vw,99,99,Not a single Stranger Things joke. Sad.
Dan McQueen,,I,H,21,White,M,https://mcqueenforcongress.com/,99,99,99,99,99,99,"His son, Travis, is also running for Congress, in the 27th. They share a website."
Chris Fernandez,,D,H,22,Hispanic,M,https://www.christxcongress.com,99,99,https://www.instagram.com/chrisfernandezforcongress/,99,99,99,"He has more campaign social media accounts, but they haven't been updated since his 2024 run, so I chose not to include them."
Sterling Gadison,,D,H,22,Not Sure,M,99,99,99,99,99,99,99,N/A
Marquette Greene-Scott,,D,H,22,Black,F,https://marquettegreenescott.com/,https://x.com/mgreenescott,https://www.facebook.com/mgreenescott,https://www.instagram.com/mgreenescott/,https://www.youtube.com/@MarquetteGreene-Scott,https://www.tiktok.com/@mgreenescott,https://bsky.app/profile/marquettegreenesc.bsky.social,N/A
"Robert ""Puga"" Thomas",,D,H,22,Black,M,https://robertforchange.com/,99,99,99,99,99,99,N/A
Pearl Vuorinen,,D,H,22,White,F,https://pearlvuorinen.com/,99,99,99,https://www.youtube.com/@PearlVuorinen,99,99,N/A
Rebecca Clark,,R,H,22,White,F,https://rebeccaclark4congress.com/,https://x.com/rclark4congress,https://www.facebook.com/rebeccaclark4congress,https://www.instagram.com/rebeccaclark4congress,99,https://www.tiktok.com/@rebeccaclark4congress,99,N/A
Trever Nehls,,R,H,22,White,M,https://www.trevernehlsforcongress.com/,https://x.com/TreverNehls,https://www.facebook.com/ColTreverNehls,https://www.instagram.com/trevernehlsforcongress/,99,99,99,N/A
Gretel Enck,,D,H,23,White,F,https://www.gretelforcongress.com/,https://x.com/gretel_enck,https://www.facebook.com/people/Gretel-For-Congress/61583172362395/,https://www.instagram.com/gretelforcongress,https://www.youtube.com/@gretelforcongress,https://www.tiktok.com/@gretelforcongress,99,N/A
Santos Limon,,D,H,23,Hispanic,M,https://santoslimonforcongress.com/,99,https://www.facebook.com/limonforcongress/,99,99,https://www.tiktok.com/@santoslimoncd23,99,"He has more campaign social media accounts, but they haven't been updated since his 2024 run, so I chose not to include them."
Bruce Richardson,,D,H,23,White,M,99,99,99,https://www.instagram.com/richardsonfortx23,99,99,99,N/A
